dist,rho,n,trial,ell,empirical,truncated,true_paired,true_gittins,fcfs,plcfs
1-6-14,0.98,10,6,14.6,982.8686920570401,982.8686920570401,297.5056965184065,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,7,14.32,1447.062862233955,1447.062862233955,274.21205237402353,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,32,14.48,961.6949034457025,961.6949034457025,245.95506640242974,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,33,13.870000000000001,1646.5738796274973,1646.5738796274973,232.594276751457,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,34,14.5,932.8926454065596,932.8926454065596,250.71096491417927,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,35,14.030000000000001,1785.7675632180874,1785.7675632180874,254.22852176985174,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,0,14.52,918.8127743810555,918.8127743810555,250.34540098805988,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,1,13.6,1966.8158604035707,1966.8158604035707,252.15055161319606,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,2,14.11,1702.648921649721,1702.648921649721,253.01589870204316,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,3,13.23,1735.3231190730874,1735.3231190730874,261.3072047516033,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,48,15.290000000000001,287.3138519254743,287.3138519254743,235.98160793370752,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,49,14.49,921.8132608058559,921.8132608058559,250.2060895113885,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,50,15.25,321.7131476890852,321.7131476890852,237.6381850790611,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,51,6.5600000000000005,339.38222067079175,339.38222067079175,239.82426352886222,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,68,14.92,451.71951029373906,451.71951029373906,270.3526030870268,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,69,14.42,923.1647007875234,923.1647007875234,234.86896903176063,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,70,14.65,668.6618864556912,668.6618864556912,239.26020737273575,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,71,15.26,262.6794449225601,262.6794449225601,239.09693138704492,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,56,14.67,696.0584003087464,696.0584003087464,261.42088103766076,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,57,14.370000000000001,1087.7229351314288,1087.7229351314288,235.96861614307232,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,58,7.15,320.9734987894828,320.9734987894828,231.7150385501512,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,59,14.26,1419.7660038186887,1419.7660038186887,256.2229220629313,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,72,14.38,997.4765792602676,997.4765792602676,234.20626459108075,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,73,14.73,615.2384404837236,615.2384404837236,252.47754636821202,246.59908642224494,279.7048335461678,352.8057550150208
